price,downloadspeed,species
41.08870968,30,Toronto
52.37903226,60,Toronto
36.25,10,Toronto
40.28225806,20,Toronto
56.41129032,55,Toronto
49.95,6,"Washington, DC"
47.49,25,"Washington, DC"
68.47,105,"Washington, DC"
102.47,150,"Washington, DC"
39.99,10,"Washington, DC"
44.99,50,"Washington, DC"
54.99,110,"Washington, DC"
59.99,25,"Washington, DC"
74.99,25,"Washington, DC"
69.99,50,"Washington, DC"
84.99,50,"Washington, DC"
79.99,75,"Washington, DC"
94.99,75,"Washington, DC"
129.99,150,"Washington, DC"
209.99,300,"Washington, DC"
299.99,500,"Washington, DC"
34.5323741,15,Zurich
41.72661871,15,Zurich
51.79856115,15,Zurich
51.79856115,30,Zurich
43.88489209,40,Zurich
58.27338129,40,Zurich
53.23741007,50,Zurich
66.18705036,50,Zurich
71.94244604,80,Zurich
86.33093525,80,Zurich
79.13669065,100,Zurich
89.20863309,100,Zurich
48.92086331,15,Zurich
58.99280576,30,Zurich
51.07913669,40,Zurich
65.4676259,40,Zurich
60.43165468,50,Zurich
73.38129496,50,Zurich
79.13669065,80,Zurich
93.52517986,80,Zurich
86.33093525,100,Zurich
96.4028777,100,Zurich
106.4748201,200,Zurich
126.618705,200,Zurich
28.77697842,15,Zurich
46.76258993,40,Zurich
53.95683453,100,Zurich
46.76258993,40,Zurich
157.5539568,1000,Zurich
100,300,Zurich
78.41726619,100,Zurich
71.22302158,40,Zurich
35.25179856,10,Zurich
49.64028777,20,Zurich
64.02877698,250,Zurich
49.64028777,125,Zurich
42.44604317,50,Zurich
32.37410072,20,Zurich
163.3093525,1000,Zurich
98.56115108,100,Zurich
78.41726619,50,Zurich
64.02877698,30,Zurich
49.64028777,10,Zurich
98.56115108,100,Zurich
74.82014388,50,Zurich
66.18705036,30,Zurich
57.55395683,20,Zurich
40.28776978,10,Zurich
