price,downloadspeed,city,continent
46.73387097,15,Toronto,North America
46.76258993,40,Zurich,Europe
46.76258993,40,Zurich,Europe
46.76612903,25,Toronto,North America
47.05882353,80,Bucharest,Europe
47.05882353,80,Bucharest,Europe
47.45,55,San Francisco,North America
47.49,60,Los Angeles,North America
47.49,30,Bristol,North America
47.49,25,"Washington, DC",North America
48.07407407,40,Prague,Europe
48.1095176,8,Mexico City,North America
48.13253012,30,Amsterdam,Europe
48.13253012,30,Amsterdam,Europe
48.19277108,50,Amsterdam,Europe
48.19277108,50,Amsterdam,Europe
48.19277108,50,Amsterdam,Europe
48.20143885,100,Hong Kong,Asia
48.33252779,1000,Tokyo,Asia
48.33252779,200,Tokyo,Asia
48.33252779,100,Tokyo,Asia
48.34677419,60,Toronto,North America
48.34677419,30,Toronto,North America
48.57142857,100,Riga,Europe
48.70546014,100,Seoul,Asia
48.7195122,70,Dublin,Europe
48.7195122,10,Dublin,Europe
48.92086331,15,Zurich,Europe
49.41329857,8,Mexico City,North America
49.64028777,125,Zurich,Europe
49.64028777,20,Zurich,Europe
49.64028777,10,Zurich,Europe
49.95,50,"Kansas City, KS & MO",North America
49.95,30,Bristol,North America
49.95,6,Chattanooga,North America
49.95,6,San Francisco,North America
49.95,6,"Washington, DC",North America
49.95967742,25,Toronto,North America
49.95967742,20,Toronto,North America
49.99,50,Lafayette,North America
49.99,50,New York,North America
49.99,20,"Kansas City, KS & MO",North America
49.99,20,Los Angeles,North America
49.99,20,New York,North America
49.99193548,30,Toronto,North America
50.2658289,1000,Tokyo,Asia
50.76612903,14,Toronto,North America
51.05714286,16,London,Europe
51.07913669,40,Zurich,Europe
51.15384615,100,Berlin,Europe
51.15384615,16,Berlin,Europe
51.15384615,16,Berlin,Europe
51.17142857,6,Riga,Europe
51.21794872,100,Berlin,Europe
51.21794872,50,Berlin,Europe
51.26923077,128,Berlin,Europe
51.26923077,100,Berlin,Europe
51.26923077,50,Berlin,Europe
51.26923077,50,Berlin,Europe
51.61707633,100,Copenhagen,Europe
51.61707633,90,Copenhagen,Europe
51.61707633,80,Copenhagen,Europe
51.61707633,60,Copenhagen,Europe
51.61707633,40,Copenhagen,Europe
51.79856115,30,Zurich,Europe
51.79856115,15,Zurich,Europe
51.95,20,"Kansas City, KS & MO",North America
51.97,50,San Francisco,North America
52.0208605,5,Mexico City,North America
52.37903226,60,Toronto,North America
52.37903226,60,Toronto,North America
52.37903226,50,Toronto,North America
52.37903226,30,Toronto,North America
53.01204819,120,Amsterdam,Europe
53.16578057,40,Tokyo,Asia
53.23741007,50,Zurich,Europe
53.5971223,100,Hong Kong,Asia
53.5971223,100,Hong Kong,Asia
53.65853659,120,Dublin,Europe
53.95683453,100,Zurich,Europe
54.15662651,50,Amsterdam,Europe
54.21686747,60,Amsterdam,Europe
54.21686747,10,Amsterdam,Europe
54.28571429,250,Riga,Europe
54.28571429,5,Riga,Europe
54.7983871,55,Toronto,North America
54.81707317,30,Dublin,Europe
54.95,80,Lafayette,North America
54.95,24,Chattanooga,North America
54.95,24,Lafayette,North America
54.95,24,Los Angeles,North America
54.99,110,"Washington, DC",North America
55,100,San Francisco,North America
55.09908168,1000,Tokyo,Asia
55.09908168,200,Tokyo,Asia
55.09908168,100,Tokyo,Asia
55.71428571,152,London,Europe
55.7195122,24,Dublin,Europe
56.41129032,60,Toronto,North America
56.41129032,60,Toronto,North America
56.41129032,55,Toronto,North America
56.41129032,50,Toronto,North America
56.41129032,50,Toronto,North America
56.44354839,60,Toronto,North America
57.1942446,500,Hong Kong,Asia
57.22891566,100,Amsterdam,Europe
57.23598435,6,Mexico City,North America
57.30487805,100,Dublin,Europe
57.4385511,60,Copenhagen,Europe
57.45,100,San Francisco,North America
57.55395683,20,Zurich,Europe
57.62820513,200,Berlin,Europe
57.95,10,New York,North America
57.95601552,60,Copenhagen,Europe
57.99,100,Chattanooga,North America
57.99903335,160,Tokyo,Asia
57.99903335,160,Tokyo,Asia
58.27338129,40,Zurich,Europe
58.53658537,100,Dublin,Europe
58.53658537,100,Dublin,Europe
58.53658537,24,Dublin,Europe
58.82352941,100,Bucharest,Europe
58.82352941,100,Bucharest,Europe
58.99280576,30,Zurich,Europe
59.63709677,55,Toronto,North America
59.95,50,Bristol,North America
59.99,110,New York,North America
59.99,100,Lafayette,North America
59.99,30,"Kansas City, KS & MO",North America
59.99,30,Los Angeles,North America
59.99,30,New York,North America
59.99,25,Los Angeles,North America
59.99,25,New York,North America
59.99,25,"Washington, DC",North America
60.18072289,100,Amsterdam,Europe
60.18072289,90,Amsterdam,Europe
60.24096386,100,Amsterdam,Europe
60.24096386,100,Amsterdam,Europe
60.43165468,50,Zurich,Europe
60.44354839,60,Toronto,North America
60.44354839,30,Toronto,North America
60.89898502,1000,Tokyo,Asia
61.40740741,120,Prague,Europe
61.76470588,50,Bucharest,Europe
62.08870968,30,Toronto,North America
62.57142857,250,Riga,Europe
62.85714286,250,Riga,Europe
63.41463415,200,Dublin,Europe
64.02877698,250,Zurich,Europe
64.02877698,30,Zurich,Europe
64.03846154,100,Berlin,Europe
64.47580645,150,Toronto,North America
64.47580645,60,Toronto,North America
64.55368693,250,Copenhagen,Europe
64.55368693,50,Copenhagen,Europe
64.95,45,Chattanooga,North America
64.95,45,Lafayette,North America
64.95,45,Los Angeles,North America
64.99,300,Los Angeles,North America
64.99,300,New York,North America
65.05867014,10,Mexico City,North America
65.05867014,10,Mexico City,North America
65.06024096,200,Amsterdam,Europe
65.36144578,100,Amsterdam,Europe
65.4676259,40,Zurich,Europe
66.18705036,1000,Hong Kong,Asia
66.18705036,50,Zurich,Europe
66.18705036,30,Zurich,Europe
67.01164295,150,Copenhagen,Europe
67.66623207,12,Mexico City,North America
68.47,105,"Washington, DC",North America
68.54032258,60,Toronto,North America
68.54032258,50,Toronto,North America
69,6,San Francisco,North America
69.34677419,150,Toronto,North America
69.99,1000,Chattanooga,North America
69.99,100,"Kansas City, KS & MO",North America
69.99,100,Los Angeles,North America
69.99,100,New York,North America
69.99,50,Los Angeles,North America
69.99,50,New York,North America
69.99,50,"Washington, DC",North America
70,1000,"Kansas City, KS & MO",North America
70.15322581,30,Toronto,North America
71.02199224,50,Copenhagen,Europe
71.08433735,50,Amsterdam,Europe
71.11428571,20,Riga,Europe
71.11428571,10,Riga,Europe
71.22302158,40,Zurich,Europe
71.58273381,300,Hong Kong,Asia
71.79818887,150,Copenhagen,Europe
71.94244604,80,Zurich,Europe
72.22891566,180,Amsterdam,Europe
72.28915663,500,Amsterdam,Europe
72.54032258,175,Toronto,North America
72.54032258,150,Toronto,North America
73.38129496,50,Zurich,Europe
74.82014388,50,Zurich,Europe
74.99,25,Los Angeles,North America
74.99,25,New York,North America
74.99,25,"Washington, DC",North America
76.57258065,120,Toronto,North America
76.57258065,60,Toronto,North America
76.60483871,60,Toronto,North America
77.10843373,130,Amsterdam,Europe
77.45,110,San Francisco,North America
78.09647979,15,Mexico City,North America
78.41726619,100,Zurich,Europe
78.41726619,50,Zurich,Europe
79.13669065,100,Zurich,Europe
79.13669065,80,Zurich,Europe
79.99,150,Lafayette,North America
79.99,75,Los Angeles,North America
79.99,75,New York,North America
79.99,75,"Washington, DC",North America
80.57553957,500,Hong Kong,Asia
80.63709677,250,Toronto,North America
81.44354839,150,Toronto,North America
82.54285714,400,Riga,Europe
83,8,San Francisco,North America
83.13253012,210,Amsterdam,Europe
83.62962963,240,Prague,Europe
83.83064516,55,Toronto,North America
84.99,50,Los Angeles,North America
84.99,50,New York,North America
84.99,50,"Washington, DC",North America
86.33093525,100,Zurich,Europe
86.33093525,80,Zurich,Europe
88.00521512,20,Mexico City,North America
88.23529412,50,Bucharest,Europe
89.15662651,290,Amsterdam,Europe
89.20863309,100,Zurich,Europe
89.50806452,150,Toronto,North America
89.56834532,300,Hong Kong,Asia
91,10,San Francisco,North America
92.73387097,250,Toronto,North America
92.85714286,5,Riga,Europe
93.52517986,80,Zurich,Europe
93.74185137,20,Mexico City,North America
94.97,105,Chattanooga,North America
94.99,75,Los Angeles,North America
94.99,75,New York,North America
94.99,75,"Washington, DC",North America
95.18072289,370,Amsterdam,Europe
96.4028777,100,Zurich,Europe
96.73387097,150,Toronto,North America
98,15,San Francisco,North America
98.56115108,100,Zurich,Europe
98.56115108,100,Zurich,Europe
99.95,110,Bristol,North America
100,300,Zurich,Europe
100.766129,120,Toronto,North America
100.7983871,250,Toronto,North America
101.2048193,450,Amsterdam,Europe
102.47,150,"Washington, DC",North America
104.1720991,35,Mexico City,North America
106.4748201,200,Zurich,Europe
106.779661,30,Mexico City,North America
107.5539568,1000,Hong Kong,Asia
107.5539568,500,Hong Kong,Asia
107.5539568,100,Hong Kong,Asia
107.5539568,30,Hong Kong,Asia
107.5539568,18,Hong Kong,Asia
107.5539568,8,Hong Kong,Asia
109.95,1000,Lafayette,North America
114.95,105,San Francisco,North America
125.5395683,1000,Hong Kong,Asia
126.618705,200,Zurich,Europe
129.23674,500,Copenhagen,Europe
129.99,150,Los Angeles,North America
129.99,150,New York,North America
129.99,150,"Washington, DC",North America
134.1590613,50,Mexico City,North America
142.2857143,500,Riga,Europe
149.8044329,50,Mexico City,North America
156.3233377,200,Mexico City,North America
157.5539568,1000,Zurich,Europe
163.3093525,1000,Zurich,Europe
169.95,250,Bristol,North America
182.25,350,Toronto,North America
182.398957,100,Mexico City,North America
195.4367666,100,Mexico City,North America
209.99,300,Los Angeles,North America
209.99,300,New York,North America
209.99,300,"Washington, DC",North America
260.6258149,200,Mexico City,North America
299.99,500,Los Angeles,North America
299.99,500,New York,North America
299.99,500,"Washington, DC",North America
319.95,1000,Bristol,North America
